TimeStamp,Date,CountyName,Province,PopulationCensus16,ConfirmedCovidCases,NewCases,3DayAvg,7DayAvg
1585699200000,01/04/2020,Roscommon,Connacht,64544,13,3,1,1
1585699200000,01/04/2020,Sligo,Connacht,65535,26,1,2,3
1585699200000,01/04/2020,Tipperary,Munster,159553,94,3,8,9
1585699200000,01/04/2020,Waterford,Munster,116176,43,5,3,3
1585699200000,01/04/2020,Westmeath,Leinster,88770,86,5,3,7
1585699200000,01/04/2020,Wexford,Leinster,149722,18,2,1,1
1585699200000,01/04/2020,Wicklow,Leinster,142425,105,21,11,8
1585785600000,02/04/2020,Carlow,Leinster,56932,6,3,1,0
1585785600000,02/04/2020,Cavan,Ulster,76176,67,26,10,8
1585785600000,02/04/2020,Clare,Munster,118817,54,4,3,3
1585785600000,02/04/2020,Cork,Munster,542868,304,12,16,17
1585785600000,02/04/2020,Donegal,Ulster,159192,80,3,6,9
1585785600000,02/04/2020,Dublin,Leinster,1347359,2251,174,202,169
1585785600000,02/04/2020,Galway,Connacht,258058,105,7,6,6
1585785600000,02/04/2020,Kerry,Munster,147707,84,5,5,5
1585785600000,02/04/2020,Kildare,Leinster,222504,136,33,19,11
1585785600000,02/04/2020,Kilkenny,Leinster,99232,54,7,6,4
1585785600000,02/04/2020,Laois,Leinster,84697,21,5,2,1
1585785600000,02/04/2020,Leitrim,Connacht,32044,13,1,1,1
1585785600000,02/04/2020,Limerick,Munster,194899,116,20,10,10
1585785600000,02/04/2020,Longford,Leinster,40873,17,1,2,2
1585785600000,02/04/2020,Louth,Leinster,128884,55,1,1,4
1585785600000,02/04/2020,Mayo,Connacht,130507,63,8,5,6
1585785600000,02/04/2020,Meath,Leinster,195044,93,5,9,7
1585785600000,02/04/2020,Monaghan,Ulster,61386,20,2,2,2
1585785600000,02/04/2020,Offaly,Leinster,77961,63,16,8,6
1585785600000,02/04/2020,Roscommon,Connacht,64544,13,0,1,1
1585785600000,02/04/2020,Sligo,Connacht,65535,27,1,2,2
1585785600000,02/04/2020,Tipperary,Munster,159553,105,11,7,9
1585785600000,02/04/2020,Waterford,Munster,116176,43,0,2,2
1585785600000,02/04/2020,Westmeath,Leinster,88770,92,6,4,6
1585785600000,02/04/2020,Wexford,Leinster,149722,20,2,2,1
1585785600000,02/04/2020,Wicklow,Leinster,142425,112,7,12,8
1585872000000,03/04/2020,Carlow,Leinster,56932,12,6,3,1
1585872000000,03/04/2020,Cavan,Ulster,76176,76,9,12,8
1585872000000,03/04/2020,Clare,Munster,118817,54,0,2,3
1585872000000,03/04/2020,Cork,Munster,542868,343,39,24,19
1585872000000,03/04/2020,Donegal,Ulster,159192,81,1,4,8
1585872000000,03/04/2020,Dublin,Leinster,1347359,2490,239,217,180
1585872000000,03/04/2020,Galway,Connacht,258058,108,3,6,6
1585872000000,03/04/2020,Kerry,Munster,147707,85,1,4,5
1585872000000,03/04/2020,Kildare,Leinster,222504,152,16,21,13
1585872000000,03/04/2020,Kilkenny,Leinster,99232,73,19,12,6
1585872000000,03/04/2020,Laois,Leinster,84697,22,1,2,1
1585872000000,03/04/2020,Leitrim,Connacht,32044,13,0,0,1
1585872000000,03/04/2020,Limerick,Munster,194899,128,12,11,10
1585872000000,03/04/2020,Longford,Leinster,40873,17,0,1,1
1585872000000,03/04/2020,Louth,Leinster,128884,64,9,4,4
1585872000000,03/04/2020,Mayo,Connacht,130507,78,15,9,7
1585872000000,03/04/2020,Meath,Leinster,195044,106,13,11,9
1585872000000,03/04/2020,Monaghan,Ulster,61386,23,3,2,2
1585872000000,03/04/2020,Offaly,Leinster,77961,64,1,6,5
1585872000000,03/04/2020,Roscommon,Connacht,64544,15,2,2,1
1585872000000,03/04/2020,Sligo,Connacht,65535,28,1,1,2
1585872000000,03/04/2020,Tipperary,Munster,159553,118,13,9,9
1585872000000,03/04/2020,Waterford,Munster,116176,46,3,3,2
1585872000000,03/04/2020,Westmeath,Leinster,88770,94,2,4,4
1585872000000,03/04/2020,Wexford,Leinster,149722,21,1,2,1
1585872000000,03/04/2020,Wicklow,Leinster,142425,132,20,16,10
1585958400000,04/04/2020,Carlow,Leinster,56932,12,0,3,1
1585958400000,04/04/2020,Cavan,Ulster,76176,115,39,25,13
1585958400000,04/04/2020,Clare,Munster,118817,60,6,3,4
1585958400000,04/04/2020,Cork,Munster,542868,362,19,23,21
1585958400000,04/04/2020,Donegal,Ulster,159192,103,22,9,10
1585958400000,04/04/2020,Dublin,Leinster,1347359,2692,202,205,186
1585958400000,04/04/2020,Galway,Connacht,258058,112,4,5,5
1585958400000,04/04/2020,Kerry,Munster,147707,89,4,3,4
1585958400000,04/04/2020,Kildare,Leinster,222504,175,23,24,16
1585958400000,04/04/2020,Kilkenny,Leinster,99232,75,2,9,6
1585958400000,04/04/2020,Laois,Leinster,84697,25,3,3,2
1585958400000,04/04/2020,Leitrim,Connacht,32044,14,1,1,1
1585958400000,04/04/2020,Limerick,Munster,194899,140,12,15,11
1585958400000,04/04/2020,Longford,Leinster,40873,21,4,2,2
1585958400000,04/04/2020,Louth,Leinster,128884,65,1,4,4
1585958400000,04/04/2020,Mayo,Connacht,130507,107,29,17,11
1585958400000,04/04/2020,Meath,Leinster,195044,141,35,18,13
1585958400000,04/04/2020,Monaghan,Ulster,61386,52,29,11,6
1585958400000,04/04/2020,Offaly,Leinster,77961,66,2,6,5
1585958400000,04/04/2020,Roscommon,Connacht,64544,18,3,2,1
1585958400000,04/04/2020,Sligo,Connacht,65535,28,0,1,1
1585958400000,04/04/2020,Tipperary,Munster,159553,125,7,10,9
1585958400000,04/04/2020,Waterford,Munster,116176,49,3,2,2
1585958400000,04/04/2020,Westmeath,Leinster,88770,107,13,7,5
1585958400000,04/04/2020,Wexford,Leinster,149722,21,0,1,1
1585958400000,04/04/2020,Wicklow,Leinster,142425,142,10,12,10
1586044800000,05/04/2020,Carlow,Leinster,56932,12,0,2,1
1586044800000,05/04/2020,Cavan,Ulster,76176,123,8,19,13
1586044800000,05/04/2020,Clare,Munster,118817,65,5,4,4
1586044800000,05/04/2020,Cork,Munster,542868,421,59,39,26
1586044800000,05/04/2020,Donegal,Ulster,159192,114,11,11,10
1586044800000,05/04/2020,Dublin,Leinster,1347359,3061,369,270,225
1586044800000,05/04/2020,Galway,Connacht,258058,128,16,8,6
1586044800000,05/04/2020,Kerry,Munster,147707,117,28,11,7
1586044800000,05/04/2020,Kildare,Leinster,222504,200,25,21,19
1586044800000,05/04/2020,Kilkenny,Leinster,99232,79,4,8,6
1586044800000,05/04/2020,Laois,Leinster,84697,31,6,3,2
1586044800000,05/04/2020,Leitrim,Connacht,32044,18,4,2,2
1586044800000,05/04/2020,Limerick,Munster,194899,143,3,9,11
